作者,看板,標題,日期,內文,推文數,噓文數,箭頭留言數,連結,留言資訊
lexmrkz32 (擼棒三次),Gossiping,Re: [新聞] 黃珊珊不忍了！千字文嗆民進黨輸了怪,Sat Feb  3 01:36:55 2024,"※ 引述《tn00270144 (乂煞氣a夾小妹乂)》之銘言：
: ※ 引述《es612 (半調子檸檬)》之銘言：
: : 講得清楚到不能再清楚了
: : 台數科董事長廖紫岑
: : 常陽科技董事長林煜喆
: : 代表民進黨高層主動拜會柯辦
: : 民眾黨同步跟民進黨高層確認後雙方進行溝通
: : 而兩位提出來的方案就是珊昌配
: : 到了民進黨發言人吳崢口中
: : 卻變成柯文哲主動致電提出交易
: : 到了最後凹不下去使出黨不知情切割之術
: 其實很簡單啊
: 選舉前
: 民眾黨宣布立法院長他們推黃珊珊
: 然後他們沒有推出立法院副院長人選
: 沒有推派副院長人選
: 那麼多次立法院長選舉
: 黨團推派立法院長候選人 會沒有推出副院長
: 所以民眾黨的意圖其實很清楚啊
: 有甚麼好凹的
: 就是意圖想要搞一個黃珊珊 配民進黨副院長
: 沒有其他解釋了
: 就是民進黨不願意，所以民眾黨才在當天推出副院長人選
: 還是由記者追問，張才說應該會
: 再怎麼坳
: 都無法改變的事實
: 稍微有腦子看他們不推出副院長就知道答案了
: 認為民眾黨沒這個意圖的人
: 你們解釋一下啊
: 不派出副院長，選舉下午那一刻才推出


　　我覺得還是把整件事情稍微理清一下，請問在總統大選結果出來以後有多少人認為
民眾黨可以競選立法院院長？答案是零，所有人討論的都是民眾黨這八票要給藍還給綠，
只要他們往哪邊倒哪邊就會當選，如果懷疑這種說法就去看看那幾天的政論，只要談到
立法院長的投票都是這種論調，甚至選前就有人在討論了。


本來事情到這裡還好處理，大家就各自想辦法拉民眾黨這八票就好，這邊我也想順便說
一下我個人其實沒有很喜歡民眾黨高調開記者會讓兩黨來面試的態度，一方面是太高傲，
另一方面就是很容易被人做文章。


我認為當時最好的方法應該是反主為客，一樣可以開記者會內容一樣是國會改革，但最後
改成民眾黨團會找時間拜會兩大黨尋求他們支持國會改革，如果理念相合就會投票。


這樣子也省得後來不投兩黨就被作文章說都找人來了還不選一個。


總之從一開始就能知道民眾黨的態度是跟兩黨都能合作，就看誰願意推國會改革等法案，
但從這時候開始就很有趣了，有一個人突然跳出來說狂罵民眾黨，說這八席沒用說不投給
民進黨就OOXX，講白了就是要把民眾黨的票往外推。


然後還製造一個輿論壓力是如果韓國瑜當選就是民眾黨的錯，那請問民眾黨該不該回應？


面對柯建銘在媒體上瘋狂抹黑情勒的狀況下，民眾黨推黃珊珊卻不推副院長的原因就很好
理解了，第一就是民眾黨不接受柯建銘的抹黑，也告知群眾他們不是非藍綠不可，每個
政黨選自己推出的候選人也是天經地義。


與此同時不推副手也表示民眾黨依然保留合作的餘地，你用膝蓋想都知道國民黨的正副
候選人難道會需要去跟民眾黨談副院長位置嗎？如果要他們當初就不會推韓國瑜了。


簡單來說，這空出來的副院長本身就是民眾黨的善意，不然難道民眾黨還可以推個民進黨
的院長候選人出來嗎？推誰？推那個拼命黑你的柯建銘？那不是瘋了嗎？


然後很好笑的是現在這個善意反倒被民進黨拿來當作民眾黨使詐求官的證據？別鬧了，
一開始大家腦袋都很清楚立法院院長就沒民眾黨的局，他求什麼阿？


而且31號才過來談？這麼重要的事情跟決定一個晚上就要通知所有人還能確保眾人都願意
改投票？這話民進黨敢說我是不敢信，也只有民眾黨那群小白會信。


如果一個晚上就能喬定的事情，那大家一開始拜會是在拜辛酸的？


簡單來說，民眾黨不推副院長候選人明明是在釋放善意合作的訊息，結果還被民進黨扭曲
成惡意實在很沒道德，也不要說為什麼不直接支持民進黨推的人就好？這就要問你們那位
總管公公為什麼要在媒體放話到讓雙方沒有餘地。


不要說都不提游錫堃啦，事實上現在選游錫堃上去結果一樣給柯建銘當幕後黑手，只不過
就推個魁儡出來而已。


民進黨的某些人不要對自己的女朋友、老婆、情婦PUA慣了就以為對誰都能這樣，也不要
老愛推卸責任，執政的時候要在野黨負責，現在選院長51席的要8席負責？


說什麼民進黨投給民眾黨怎麼跟支持者交代？反過來問你難道民眾黨投給你就不必跟
支持者交代？什麼鬼邏輯阿。


好像什麼都應該讓給你民進黨一樣，要無償幫你要無限度的支持你，這種嘴臉真的很難看
可以別這麼巨嬰嗎？



--",7,1,19,https://www.ptt.cc/bbs/Gossiping/M.1706895418.A.424.html,"[{""type"": ""噓"", ""user"": ""ddg1802"", ""content"": ""假老二民調女的話我不信欸！你信喔？"", ""ipdatetime"": ""122.147.31.88 02/03 01:44""}, {""type"": ""推"", ""user"": ""sam7207"", ""content"": ""好了啦~二輪投票 假清高仔^^"", ""ipdatetime"": ""114.34.143.1 02/03 01:45""}, {""type"": ""→"", ""user"": ""ddg1802"", ""content"": ""2億美金沒釐清還大放厥詞的能信喔？"", ""ipdatetime"": ""122.147.31.88 02/03 01:45""}, {""type"": ""推"", ""user"": ""taboothorn"", ""content"": ""共匪就是這個德行 綠共被說是匪諜也"", ""ipdatetime"": ""61.230.67.30 02/03 01:45""}, {""type"": ""→"", ""user"": ""taboothorn"", ""content"": ""不為過"", ""ipdatetime"": ""61.230.67.30 02/03 01:45""}, {""type"": ""→"", ""user"": ""sam7207"", ""content"": ""請把國家還給國民黨好嗎 戰國策"", ""ipdatetime"": ""114.34.143.1 02/03 01:46""}, {""type"": ""→"", ""user"": ""sam7207"", ""content"": ""國會最大黨 民進黨輸了又沒啥票多的贏"", ""ipdatetime"": ""114.34.143.1 02/03 01:46""}, {""type"": ""推"", ""user"": ""opwin"", ""content"": ""從君悅到這次 都是民眾黨覺得大黨該讓"", ""ipdatetime"": ""111.252.76.188 02/03 01:47""}, {""type"": ""→"", ""user"": ""opwin"", ""content"": ""到底誰才是巨嬰 柯粉可不可記得自己是老三"", ""ipdatetime"": ""111.252.76.188 02/03 01:47""}, {""type"": ""推"", ""user"": ""IAMQT"", ""content"": ""民眾黨也沒有叫你讓阿 不就說你不投就是你"", ""ipdatetime"": ""118.161.89.7 02/03 01:51""}, {""type"": ""→"", ""user"": ""IAMQT"", ""content"": ""也支持韓國瑜，這局不就結束了"", ""ipdatetime"": ""118.161.89.7 02/03 01:51""}, {""type"": ""推"", ""user"": ""jun7154"", ""content"": ""麻柯一直在那崩潰嗆聲 它真的不想游選上"", ""ipdatetime"": ""118.170.83.135 02/03 01:57""}, {""type"": ""推"", ""user"": ""bbbcccddd2"", ""content"": ""韓國魚當院長，讚"", ""ipdatetime"": ""1.175.176.142 02/03 01:58""}, {""type"": ""→"", ""user"": ""chink5566"", ""content"": ""對他們來說院長不重要 所以韓上滿合理"", ""ipdatetime"": ""36.226.211.165 02/03 01:59""}, {""type"": ""→"", ""user"": ""chink5566"", ""content"": ""的啊"", ""ipdatetime"": ""36.226.211.165 02/03 01:59""}, {""type"": ""→"", ""user"": ""ddg1802"", ""content"": ""不好意思，韓草包就不說了，黃33玩假老二"", ""ipdatetime"": ""122.147.31.88 02/03 01:59""}, {""type"": ""→"", ""user"": ""ddg1802"", ""content"": ""民調，這人格白七才投吧！"", ""ipdatetime"": ""122.147.31.88 02/03 01:59""}, {""type"": ""→"", ""user"": ""ddg1802"", ""content"": ""游就是民進黨最好的人選，民進黨不會投造"", ""ipdatetime"": ""122.147.31.88 02/03 02:00""}, {""type"": ""→"", ""user"": ""ddg1802"", ""content"": ""假民調的黃33！"", ""ipdatetime"": ""122.147.31.88 02/03 02:00""}, {""type"": ""→"", ""user"": ""chink5566"", ""content"": ""民眾黨比較好笑的是七票還有今天7pupu"", ""ipdatetime"": ""36.226.211.165 02/03 02:00""}, {""type"": ""→"", ""user"": ""chink5566"", ""content"": ""要告人的事情"", ""ipdatetime"": ""36.226.211.165 02/03 02:01""}, {""type"": ""→"", ""user"": ""ddg1802"", ""content"": ""嗆三小東西，你柯去告了沒，俗辣！"", ""ipdatetime"": ""122.147.31.88 02/03 02:01""}, {""type"": ""推"", ""user"": ""sam7207"", ""content"": ""哀阿 沒告耶..."", ""ipdatetime"": ""114.34.143.1 02/03 02:01""}, {""type"": ""→"", ""user"": ""ddg1802"", ""content"": ""會不會柯又忍住了，笑死"", ""ipdatetime"": ""122.147.31.88 02/03 02:02""}, {""type"": ""→"", ""user"": ""sam7207"", ""content"": ""面試一堆人結果自己推自己 結果白七.."", ""ipdatetime"": ""114.34.143.1 02/03 02:02""}, {""type"": ""→"", ""user"": ""ddg1802"", ""content"": ""小草們都快爆了，跑票不開除、不忍了要"", ""ipdatetime"": ""122.147.31.88 02/03 02:03""}, {""type"": ""→"", ""user"": ""ddg1802"", ""content"": ""  結果又忍了，笑死"", ""ipdatetime"": ""122.147.31.88 02/03 02:03""}]"
Matz (第一年 150W UP),Gossiping,[問卦] 男生身高不到165真的很慘嗎？,Sat Feb  3 01:37:25 2024,"欸欸

是這樣啦。

雖然說不到170是半殘，低於165是全殘！

但4啊，台灣身高不到170甚至低於165的男生真的很多欸！

這些人的一生真的會很悲慘嗎？

有卦嘛？

--",8,1,5,https://www.ptt.cc/bbs/Gossiping/M.1706895447.A.C47.html,"[{""type"": ""→"", ""user"": ""a27588679"", ""content"": ""看口袋的深度"", ""ipdatetime"": ""180.177.33.135 02/03 01:37""}, {""type"": ""推"", ""user"": ""saladin1029"", ""content"": ""用鈔票把自己墊高不會？"", ""ipdatetime"": ""101.12.102.217 02/03 01:38""}, {""type"": ""推"", ""user"": ""fp737"", ""content"": ""不會  房子有165坪即可"", ""ipdatetime"": ""1.168.97.62 02/03 01:38""}, {""type"": ""→"", ""user"": ""walkmaster"", ""content"": ""我身邊認識低於170的 越矮懶覺越大"", ""ipdatetime"": ""1.162.3.224 02/03 01:43""}, {""type"": ""推"", ""user"": ""Smallsh"", ""content"": ""身高我不知道 第一年沒150不如去海邊"", ""ipdatetime"": ""36.234.153.171 02/03 01:45""}, {""type"": ""推"", ""user"": ""sellgd"", ""content"": ""還有長相和GG可以補 還有更矮的女生"", ""ipdatetime"": ""203.222.12.132 02/03 01:47""}, {""type"": ""推"", ""user"": ""kyosukeakiba"", ""content"": ""矮窮醜三全才慘，只有一項還有救。"", ""ipdatetime"": ""114.44.135.154 02/03 01:52""}, {""type"": ""→"", ""user"": ""AntiqueTea"", ""content"": ""阿湯哥不也才1米7而已"", ""ipdatetime"": ""39.12.106.59 02/03 01:52""}, {""type"": ""→"", ""user"": ""Arodz"", ""content"": ""如果台灣不推無用籃球就還好 可惜..."", ""ipdatetime"": ""223.136.189.127 02/03 01:53""}, {""type"": ""推"", ""user"": ""rechinn00"", ""content"": ""在日本算高"", ""ipdatetime"": ""223.136.238.169 02/03 01:54""}, {""type"": ""→"", ""user"": ""kingmusk"", ""content"": ""原來你們都這麼矮喔"", ""ipdatetime"": ""39.15.17.187 02/03 02:03""}, {""type"": ""推"", ""user"": ""a82380"", ""content"": ""臉>165即可"", ""ipdatetime"": ""111.242.210.88 02/03 02:09""}, {""type"": ""推"", ""user"": ""sellgd"", ""content"": ""所以阿湯哥和歐美人打鬥就沒說服力啊"", ""ipdatetime"": ""203.222.12.132 02/03 02:11""}, {""type"": ""噓"", ""user"": ""s88480"", ""content"": ""不到170的年輕男生其實很少"", ""ipdatetime"": ""42.72.43.45 02/03 02:11""}]"
TameFoxx (foxx),Gossiping,Re: [問卦] 漢初三傑怎麼不算陳平？,Sat Feb  3 01:37:39 2024,"老梗文了

漢初三傑是劉邦統一天下後說的

主要就是統一天下的主要功臣

陳平的功勞主要都是在漢朝建立後才立下的

所以劉邦講這句話的時候陳平的主要功績都還沒實現

陳平對漢朝的功勞之大還不止於劉邦

劉邦死後劉氏能夠延續而沒有被呂氏取代陳平也功不可沒

--",0,0,1,https://www.ptt.cc/bbs/Gossiping/M.1706895461.A.582.html,"[{""type"": ""→"", ""user"": ""walkmaster"", ""content"": ""阿就只有三個 不然你改叫四天王啊"", ""ipdatetime"": ""1.162.3.224 02/03 01:43""}]"
herbert0716 ((っ・ω・)っ),Gossiping,Re: [問卦] 沒人發現啤酒根本就超級難喝嗎！,Sat Feb  3 01:37:44 2024,"※ 引述《nobody0303 ()》之銘言：
: 鄉民摸摸自己的良心講
: 喝一口奶茶
: 跟喝一口啤酒
: 喝起來到底哪個味道好
: 我敢說十之八九都選奶茶
: 啤酒那個味道就是難喝
: 結果一堆人聚會時點一堆
: 還一直要別人乾杯
: 完全不知道自己在把難喝的東西塞給別人
: 根本就整個廢到笑啊！
: 沒人發現啤酒根本就超級難喝嗎！
: 為何有些人明知如此
: 還要逼別人一罐接著一罐喝啊
: 真是豈有此理！

那是因為你沒喝到好喝的
台啤大概只有18天能喝
其他還是日啤屌打
當然喝的器具也很重要
我推薦用備前燒的杯子喝
http://i.imgur.com/huT7KhE.jpg
備前燒的特色是陶器毛細孔多
所以啤酒一倒 氣泡很容易出來 而且還很綿密 持久不消散
氣泡可以隔絕空氣 啤酒花不易氧化
喝起來就不會苦

-----
Sent from JPTT on my Google Pixel 6a.

--
                    │      ◤██ ◥ │  ▅▅▅▅▅▅  
好 ◤∵∴◥   │       ◤◥  │  ............ 
人   ▄▄▄ │      ◤■–■◥ │  ............ 
三  雞排    清心  │      │      │  ............ 
寶     │      ◣  ─  ◢ │  ▃▃▃▃▃▃ 
βdajidali    ▅▅▅ 宵夜│      ／ ◤◥ ＼   司機│▄▄▄▄▄▄▄▄▄ 修電腦  

--",4,0,5,https://www.ptt.cc/bbs/Gossiping/M.1706895470.A.393.html,"[{""type"": ""→"", ""user"": ""su4vu6"", ""content"": ""幹嘛不喝可樂"", ""ipdatetime"": ""118.232.106.187 02/03 01:38""}, {""type"": ""推"", ""user"": ""ME13"", ""content"": ""用螺殼喝燒酒"", ""ipdatetime"": ""61.228.185.14 02/03 01:39""}, {""type"": ""→"", ""user"": ""johnhmj"", ""content"": ""義大利 維O利 不好嗎？"", ""ipdatetime"": ""49.216.225.161 02/03 01:40""}, {""type"": ""推"", ""user"": ""williammei"", ""content"": ""我都喝radler，又甜又好喝"", ""ipdatetime"": ""1.172.229.46 02/03 01:48""}, {""type"": ""推"", ""user"": ""not5not6not7"", ""content"": ""冰過的啤酒杯比較好喝不知是否幻覺?"", ""ipdatetime"": ""99.43.254.103 02/03 01:50""}, {""type"": ""→"", ""user"": ""CotyHsu"", ""content"": ""台灣根本是啤酒地獄，貴又少。"", ""ipdatetime"": ""45.144.227.64 02/03 01:51""}, {""type"": ""推"", ""user"": ""hondahcl"", ""content"": ""日啤喝了一次回不去了"", ""ipdatetime"": ""101.12.27.53 02/03 02:02""}, {""type"": ""→"", ""user"": ""meblessme"", ""content"": ""經典比18天好喝"", ""ipdatetime"": ""223.138.91.184 02/03 02:15""}, {""type"": ""→"", ""user"": ""meblessme"", ""content"": ""我就沒喝過好喝的18天"", ""ipdatetime"": ""223.138.91.184 02/03 02:16""}]"
daye2012 (),Gossiping,[問卦] 淨空法師走在台灣前端？,Sat Feb  3 01:40:26 2024,"以前有人問他，玩殺人、殺動物的遊戲算不算殺生

淨空回說：算殺生

當時還引發熱烈討論

結果現在看二次元的也算強姦了

台灣逐漸走向宗教立國了，要不要徹底一點，聘請阿富汗神學士來主管NCC？

----
Sent from BePTT

--",6,1,3,https://www.ptt.cc/bbs/Gossiping/M.1706895628.A.FCB.html,"[{""type"": ""推"", ""user"": ""ymib"", ""content"": ""「極樂世界沒有女人」"", ""ipdatetime"": ""223.137.229.152 02/03 01:41""}, {""type"": ""推"", ""user"": ""webster1112"", ""content"": ""柯P: ...   你繞境了沒 ?"", ""ipdatetime"": ""220.141.150.246 02/03 01:41""}, {""type"": ""推"", ""user"": ""brella"", ""content"": ""好像有一陣子沒出現了"", ""ipdatetime"": ""118.171.163.126 02/03 01:42""}, {""type"": ""噓"", ""user"": ""alsou"", ""content"": ""去問某邪教政黨啊！"", ""ipdatetime"": ""223.137.52.167 02/03 01:43""}, {""type"": ""推"", ""user"": ""karta018"", ""content"": ""他圓寂啦"", ""ipdatetime"": ""59.126.125.179 02/03 01:44""}, {""type"": ""→"", ""user"": ""karta018"", ""content"": ""那玩帕魯豈不罪孽深重"", ""ipdatetime"": ""59.126.125.179 02/03 01:45""}, {""type"": ""→"", ""user"": ""www8787"", ""content"": ""玩色情遊戲就淫邪阿 玩殺生遊戲同理 董?"", ""ipdatetime"": ""1.160.163.58 02/03 01:52""}, {""type"": ""→"", ""user"": ""em4"", ""content"": ""起心動念就不行"", ""ipdatetime"": ""39.14.64.217 02/03 01:56""}, {""type"": ""推"", ""user"": ""Informatik"", ""content"": ""愛因斯坦在核爆地獄受苦"", ""ipdatetime"": ""140.109.16.166 02/03 02:08""}, {""type"": ""推"", ""user"": ""sleepyrat"", ""content"": ""想也不行!!  想也有罪!!"", ""ipdatetime"": ""218.164.72.104 02/03 02:17""}]"
luckysmallsu (B.J.T表連自我意志和尊嚴),Gossiping,[問卦] 金城武的代表作是什麼？,Sat Feb  3 01:42:28 2024,"仔細想想金城武好像除了臉帥以外沒啥代表作

早期跟朱延平拍了一堆B級搞笑爛片 臭屁王、逃學戰警、號角響起…

近10幾年的作品 十面埋伏、太平輪、赤壁、擺渡人  感覺也上不了檯面

人家梁朝偉、梁家輝隨便演個搞笑角色照樣能拿影帝

金城武就真的靠那張帥臉而已演戲真的不行啊

出道30年講得出什麼代表作嗎？

--",11,2,8,https://www.ptt.cc/bbs/Gossiping/M.1706895751.A.A41.html,"[{""type"": ""噓"", ""user"": ""whiteadam"", ""content"": ""我難過"", ""ipdatetime"": ""114.36.117.226 02/03 01:43""}, {""type"": ""推"", ""user"": ""L1ON"", ""content"": ""我不紅 更何況現在是歐吉桑了 謝謝關心"", ""ipdatetime"": ""1.200.8.205 02/03 01:43""}, {""type"": ""→"", ""user"": ""zyxx"", ""content"": ""分身術"", ""ipdatetime"": ""111.249.58.219 02/03 01:43""}, {""type"": ""推"", ""user"": ""Jaline5566"", ""content"": ""這個我早上在回答 太晚了"", ""ipdatetime"": ""42.77.16.183 02/03 01:43""}, {""type"": ""推"", ""user"": ""dbjdx"", ""content"": ""不夜城"", ""ipdatetime"": ""27.247.94.25 02/03 01:43""}, {""type"": ""→"", ""user"": ""kingmusk"", ""content"": ""三國"", ""ipdatetime"": ""39.15.17.187 02/03 01:43""}, {""type"": ""推"", ""user"": ""ME13"", ""content"": ""在我床上的表現"", ""ipdatetime"": ""61.228.185.14 02/03 01:44""}, {""type"": ""→"", ""user"": ""kingmusk"", ""content"": ""啊 帥到鬼武者用他來建模而已 沒什麼=="", ""ipdatetime"": ""39.15.17.187 02/03 01:46""}, {""type"": ""推"", ""user"": ""bearzbaby123"", ""content"": ""謝謝你的關心 我還是喜歡在家打電"", ""ipdatetime"": ""220.143.197.69 02/03 01:46""}, {""type"": ""→"", ""user"": ""bearzbaby123"", ""content"": ""動"", ""ipdatetime"": ""220.143.197.69 02/03 01:46""}, {""type"": ""推"", ""user"": ""tenlove"", ""content"": ""投名狀"", ""ipdatetime"": ""223.137.163.217 02/03 01:46""}, {""type"": ""推"", ""user"": ""HayamaAkito"", ""content"": ""你總是說我 不夠溫柔 不懂幽默 愛不"", ""ipdatetime"": ""114.136.175.27 02/03 01:47""}, {""type"": ""→"", ""user"": ""HayamaAkito"", ""content"": ""常說出口"", ""ipdatetime"": ""114.136.175.27 02/03 01:47""}, {""type"": ""→"", ""user"": ""z32510z"", ""content"": ""晚點名"", ""ipdatetime"": ""42.73.164.136 02/03 01:48""}, {""type"": ""噓"", ""user"": ""jojoStar"", ""content"": ""樹"", ""ipdatetime"": ""122.100.114.105 02/03 01:48""}, {""type"": ""推"", ""user"": ""Fidi"", ""content"": ""神啊，請再多給我一點時間"", ""ipdatetime"": ""106.1.149.143 02/03 02:02""}, {""type"": ""推"", ""user"": ""ymsc30102"", ""content"": ""鬼武者啊"", ""ipdatetime"": ""223.137.192.230 02/03 02:03""}, {""type"": ""→"", ""user"": ""Giorno7777"", ""content"": ""重慶森林"", ""ipdatetime"": ""220.136.28.65 02/03 02:04""}, {""type"": ""推"", ""user"": ""ymsc30102"", ""content"": ""沒看到後來新鬼武者不用真人建模就直"", ""ipdatetime"": ""123.192.84.24 02/03 02:04""}, {""type"": ""→"", ""user"": ""ymsc30102"", ""content"": ""接爆死了"", ""ipdatetime"": ""123.192.84.24 02/03 02:04""}, {""type"": ""推"", ""user"": ""wacoal"", ""content"": ""林北給你玩點名啦"", ""ipdatetime"": ""114.34.122.221 02/03 02:10""}]"
christopherl (Crystal~++),Gossiping,[問卦] 31歲單身台女：為什麼談戀愛都找年輕的,Sat Feb  3 01:45:09 2024,"看到版上很多31歲單身台女，不能接受未滿18歲談戀愛

「好噁心，根本是戀童癖」

「萬一有性行為怎麼辦」

「萬一懷孕了怎麼辦」

「正常人都愛31歲以上的，喜歡未成年的根本是戀童癖」

真的嗎

31歲單身台女真的覺得，未滿18歲談戀愛是戀童癖嗎

有沒有八卦？

--
https://i.imgur.com/YdCVwdw.png
https://i.imgur.com/Lw4ENik.png
https://i.imgur.com/RfwzkeC.png
#1aAnfPdD (Gossiping)

--",2,0,4,https://www.ptt.cc/bbs/Gossiping/M.1706895911.A.607.html,"[{""type"": ""→"", ""user"": ""walkmaster"", ""content"": ""他就最好18以前沒有談過戀愛啊"", ""ipdatetime"": ""1.162.3.224 02/03 01:45""}, {""type"": ""→"", ""user"": ""z32510z"", ""content"": ""18太老"", ""ipdatetime"": ""42.73.164.136 02/03 01:46""}, {""type"": ""推"", ""user"": ""sa13961387"", ""content"": ""所以她們18歲的時候在幹嘛？認真唸書"", ""ipdatetime"": ""36.225.224.167 02/03 01:46""}, {""type"": ""→"", ""user"": ""sa13961387"", ""content"": ""？"", ""ipdatetime"": ""36.225.224.167 02/03 01:46""}, {""type"": ""推"", ""user"": ""witnessg"", ""content"": ""可悲"", ""ipdatetime"": ""111.241.20.194 02/03 01:46""}, {""type"": ""→"", ""user"": ""ayakiax"", ""content"": ""他們60歲的時候也會覺得45歲還不穩重"", ""ipdatetime"": ""111.242.13.137 02/03 02:04""}]"
womantalk (女孩版公告專用帳號),Gossiping,[問卦] 之前性侵殺害繼女的好像也沒死刑耶,Sat Feb  3 01:50:54 2024,"
2015的舊聞

https://news.ltn.com.tw/news/society/paper/853720

新北市男子許川被控性侵同居人的18歲女兒小君（化名），5年施虐518次，許男為了滅口
，竟用煞車鋼線勒死她，性侵部分因士檢搞烏龍，弄錯起訴時間，另行起訴，至於殺人罪
部分，最高法院昨維持高等法院更一審認定，無法證明許川泯滅人性，判處無期徒刑、褫
奪公權終身確定。

判決指出，58歲許川原本經營鵝肉店，與小君的母親同居，被控從95年開始性侵小君，直
到小君之母自殺過世後，100年底，小君找生父陪同控告許川性侵，許川曾因性侵罪入監
服刑，擔心再入獄，哭求撤告，未獲回應，同年11月29日清晨5點，許侵入小君住處，掐
死小君，再以煞車鋼線將小君吊死床頭，偽裝成自殺。

性侵未成年少女

被告了之後沒有收押就跑出來殺人

完全看司法沒有 結果更一審判無期 最高法院也同意這樣不算泯滅人性

這次房東打女房客要打死人了也輕輕鬆鬆五萬交保

完全不怕他這段時間去找被害人或是其他房客報復

台灣法官都怎麼看待自己的工作的

有沒有八卦?


--",8,0,9,https://www.ptt.cc/bbs/Gossiping/M.1706896261.A.783.html,"[{""type"": ""→"", ""user"": ""cms6384"", ""content"": ""非窮凶惡極啦 在那叫什麼"", ""ipdatetime"": ""122.100.115.183 02/03 01:53""}, {""type"": ""推"", ""user"": ""a1237759"", ""content"": ""投胎投對地方，在台灣殺人放火都小事"", ""ipdatetime"": ""114.34.135.229 02/03 01:54""}, {""type"": ""→"", ""user"": ""johnhmj"", ""content"": ""看看那可悲的司法改革"", ""ipdatetime"": ""49.216.225.161 02/03 01:54""}, {""type"": ""→"", ""user"": ""spzper"", ""content"": ""說無期還不是會被放出來"", ""ipdatetime"": ""1.170.85.231 02/03 01:55""}, {""type"": ""推"", ""user"": ""karta1271642"", ""content"": ""台灣法官就是一群死讀書的智障兒"", ""ipdatetime"": ""42.72.216.216 02/03 01:57""}, {""type"": ""推"", ""user"": ""crowley"", ""content"": ""社會安全網是補去哪了zzz"", ""ipdatetime"": ""223.137.181.19 02/03 01:57""}, {""type"": ""推"", ""user"": ""chouvincent"", ""content"": ""菜陰魂的司法改革：）"", ""ipdatetime"": ""180.217.224.15 02/03 01:57""}, {""type"": ""推"", ""user"": ""doublecroxx"", ""content"": ""無法證明許川泯滅人性"", ""ipdatetime"": ""223.140.229.213 02/03 02:01""}, {""type"": ""推"", ""user"": ""hedonist"", ""content"": ""2015年定讞的也在怪蔡英文"", ""ipdatetime"": ""49.159.210.26 02/03 02:02""}, {""type"": ""推"", ""user"": ""ChineseTeam"", ""content"": ""40% 支持過去八年來到司法改革所以才"", ""ipdatetime"": ""42.79.18.47 02/03 02:09""}, {""type"": ""→"", ""user"": ""ChineseTeam"", ""content"": ""會繼續執政啊"", ""ipdatetime"": ""42.79.18.47 02/03 02:09""}, {""type"": ""推"", ""user"": ""xm3u4vmp6"", ""content"": ""打不贏就加入吧 殺人放火強姦 身上帶"", ""ipdatetime"": ""111.82.48.59 02/03 02:17""}, {""type"": ""→"", ""user"": ""xm3u4vmp6"", ""content"": ""刀防身"", ""ipdatetime"": ""111.82.48.59 02/03 02:17""}, {""type"": ""→"", ""user"": ""xm3u4vmp6"", ""content"": ""幹你娘 台灣就是要你去殺人啦 垃圾廢"", ""ipdatetime"": ""111.82.48.59 02/03 02:17""}, {""type"": ""→"", ""user"": ""mango970422"", ""content"": ""死刑照判跟不執行其實不衝突吧"", ""ipdatetime"": ""42.73.174.152 02/03 02:18""}, {""type"": ""→"", ""user"": ""xm3u4vmp6"", ""content"": ""死幹"", ""ipdatetime"": ""111.82.48.59 02/03 02:18""}, {""type"": ""→"", ""user"": ""mango970422"", ""content"": ""好歹也判個放給他爛吧"", ""ipdatetime"": ""42.73.174.152 02/03 02:18""}]"
